Applicant Name,"Type of organisation
(NPO/IPSO/Transfer)",National Youth Music Organisation,2018-22 Average Annual Funding (Figure accurate at April 2018),2022/23 Annual Funding (Extension year),2023-26 Annual Funding (Offered 4 Nov 2022),Main Discipline,ACE Area,ONS region,Constituency,Local authority,Levelling Up For Culture Place,Priority Place,Comments
Activate Performing Arts Ltd,NPO,,279250,284388,284388,Combined arts,South West,South West,West Dorset,Dorset,Non-LUCP,Non-Priority place,
Actors Touring Company,NPO,,207773,211596,211596,Theatre,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,
Ad Infinitum Productions CIO,NPO,,0,0,190000,Theatre,South West,South West,Bristol South,"Bristol, City of",Non-LUCP,Non-Priority place,
Africa Oye Limited,NPO,,163449,166456,217456,Music,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,
African Night Fever,NPO,,0,0,98000,Music,South East,South East,Hove,Brighton and Hove,Non-LUCP,Non-Priority place,
AIR in G (Arts in Rural Gloucestershire) Ltd,NPO,,42243,43020,75000,Theatre,South West,West Midlands,Hereford and South Herefordshire,"Herefordshire, County of",Non-LUCP,Non-Priority place,
Akademi,NPO,,215000,218956,218956,Dance,London,London,Hampstead and Kilburn,Camden,Non-LUCP,Non-Priority place,
Akram Khan Dance Company,NPO,,500610,509821,509821,Dance,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,
Almeida Theatre Company Limited,NPO,,675499,687928,587928,Theatre,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,
Amina Khayyam Dance Co,NPO,,0,0,135000,Dance,South East,South East,Slough,Slough,LUCP,Priority place,
a-n The Artists Information Company,NPO,,212754,216669,216669,Visual arts,North,North East,Newcastle upon Tyne Central,Newcastle upon Tyne,Non-LUCP,Non-Priority place,
And Other Stories Publishing CIC,NPO,,74000,75362,75362,Literature,North,Yorkshire and The Humber,"Sheffield, Hallam",Sheffield,Non-LUCP,Non-Priority place,
Animate Projects Limited,NPO,,0,0,162000,Visual arts,Midlands,East Midlands,Derby South,Derby,Non-LUCP,Non-Priority place,
Applause Rural Touring,NPO,,145000,147668,267668,Combined arts,South East,South East,Tunbridge Wells,Tunbridge Wells,Non-LUCP,Non-Priority place,
Apples and Snakes,NPO,,455000,463372,463372,Literature,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,
ARCADE,NPO,,0,0,180000,Combined arts,North,Yorkshire and The Humber,East Yorkshire,East Riding of Yorkshire,LUCP,Non-Priority place,
Arcola Theatre Production Company,NPO,,301738,307290,307290,Theatre,London,London,Hackney North and Stoke Newington,Hackney,Non-LUCP,Non-Priority place,
arebyte,NPO,,0,0,113300,Visual arts,London,London,Poplar and Limehouse,Tower Hamlets,Non-LUCP,Non-Priority place,
Arena Theatre (University of Wolverhampton),NPO,,110069,112094,112094,Theatre,Midlands,West Midlands,Wolverhampton South West,Wolverhampton,LUCP,Priority place,
Arnolfini Gallery,NPO,,0,0,696780,Visual arts,South West,South West,Bristol West,"Bristol, City of",Non-LUCP,Non-Priority place,
Art Asia Trust Limited,NPO,,95827,97590,195900,Combined arts,South West,South East,"Southampton, Test",Southampton,Non-LUCP,Non-Priority place,
Art classes group,NPO,,0,0,130000,Visual arts,South East,South East,Slough,Slough,LUCP,Priority place,
Art Gene Limited,NPO,,110000,112024,239957,Visual arts,North,North West,Barrow and Furness,Barrow-in-Furness,LUCP,Priority place,
Art Monthly,NPO,,40232,40972,50000,Visual arts,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,
Art Services Grants Ltd,NPO,,221221,225291,225291,Visual arts,London,London,Ilford South,Redbridge,Non-LUCP,Non-Priority place,
Artcore,NPO,,160000,162944,162944,Visual arts,Midlands,East Midlands,Derby South,Derby,Non-LUCP,Non-Priority place,
Artichoke Trust,NPO,,468134,476748,476748,Combined arts,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
ArtReach (Trust) Ltd,NPO,,350000,356440,356440,Combined arts,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,
Arts and Homelessness International,IPSO,,0,0,90000,Combined arts,Midlands,West Midlands,Coventry South,Coventry,Non-LUCP,Non-Priority place,
Arts Alive CIO,NPO,,58781,59863,166863,Combined arts,Midlands,West Midlands,Ludlow,Shropshire,Non-LUCP,Non-Priority place,
Arts at the Mill CIC,NPO,,0,0,350000,Combined arts,North,North West,Wigan,Wigan,LUCP,Priority place,
Arts Catalyst,NPO,,130000,132392,132392,Visual arts,North,Yorkshire and The Humber,Sheffield Central,Sheffield,Non-LUCP,Non-Priority place,
Arts Marketing Association,IPSO,,235643,239979,120000,Not discipline specific,South East,East of England,Cambridge,Cambridge,Non-LUCP,Non-Priority place,
Arts Outburst,NPO,,0,0,90000,Combined arts,South East,East of England,Thurrock,Thurrock,LUCP,Non-Priority place,
Artsadmin,NPO,,533072,542881,542881,Combined arts,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
Artsreach,NPO,,55319,56337,56337,Combined arts,South West,South West,West Dorset,Dorset,Non-LUCP,Non-Priority place,
Artswork,NPO,,1519397,1547354,1394508,Not discipline specific,South West,South East,"Southampton, Itchen",Southampton,Non-LUCP,Non-Priority place,
Arvon Foundation,NPO,,388267,395411,395411,Literature,North,Yorkshire and The Humber,Calder Valley,Calderdale,Non-LUCP,Non-Priority place,
Asian Arts Agency,NPO,,280870,286038,586038,Music,South West,South West,Bristol West,"Bristol, City of",Non-LUCP,Non-Priority place,
Aspex Visual Arts Trust,NPO,,112117,114180,114180,Visual arts,South West,South East,Portsmouth South,Portsmouth,LUCP,Priority place,
Association for Cultural Enterprises,IPSO,,198000,201643,201643,Not discipline specific,North,North East,North West Durham,County Durham,LUCP,Priority place,
Association of Independent Museums,IPSO,,300000,305520,305520,Museums,North,North West,Ellesmere Port and Neston,Cheshire West and Chester,Non-LUCP,Non-Priority place,
Association of Senior Children's and Education Librarians,IPSO,,0,0,200000,Libraries,North,North West,Weaver Vale,Halton,LUCP,Non-Priority place,
Attitude is Everything,IPSO,,249700,254294,379294,Music,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
AudioActive,NPO,,0,0,307120,Music,South East,South East,Worthing West,Worthing,Non-LUCP,Non-Priority place,
Aurora Orchestra,NPO,,91829,93519,143519,Music,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,
Auto Italia,NPO,,50290,51215,106930,Visual arts,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
Autograph ABP,NPO,,700000,712880,1012880,Visual arts,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,
Awards for Young Musicians,NPO,Yes,0,0,400000,Music,South West,South West,Bristol South,"Bristol, City of",Non-LUCP,Non-Priority place,
B Music Ltd,NPO,,80464,81945,81945,Music,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
B3 Media Limited,NPO,,180000,183312,183312,Visual arts,London,London,Mitcham and Morden,Merton,Non-LUCP,Non-Priority place,
Baby People,NPO,,48418,49309,113000,Music,Midlands,East Midlands,Derby North,Derby,Non-LUCP,Non-Priority place,
Back to Ours Arts Limited,NPO,,0,0,320000,Combined arts,North,Yorkshire and The Humber,Kingston upon Hull West and Hessle,"Kingston upon Hull, City of",Non-LUCP,Non-Priority place,
Backlit,NPO,,75000,76380,76380,Visual arts,Midlands,East Midlands,Nottingham East,Nottingham,Non-LUCP,Non-Priority place,
Balbir Singh Dance Company,NPO,,150460,153228,251728,Dance,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,
Ballet Black,NPO,,220000,224048,424048,Dance,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,
Ballet Lorent Limited,NPO,,399968,407327,537327,Dance,North,North East,Newcastle upon Tyne East,Newcastle upon Tyne,Non-LUCP,Non-Priority place,
BalletBoyz Ltd,NPO,,300000,305520,305520,Dance,London,London,Richmond Park,Kingston upon Thames,Non-LUCP,Non-Priority place,
Baltic Flour Mills Visual Arts Trust,NPO,,3158000,3037975,3037975,Visual arts,North,North East,Gateshead,Gateshead,Non-LUCP,Non-Priority place,
Bamboozle Theatre Company,NPO,,200000,203680,303675,Theatre,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,
"Barbican Theatre, Plymouth",NPO,,195120,198710,198710,Dance,South West,South West,"Plymouth, Sutton and Devonport",Plymouth,Non-LUCP,Non-Priority place,
Barnsley Civic Enterprise Ltd,NPO,,160000,162944,250944,Combined arts,North,Yorkshire and The Humber,Barnsley Central,Barnsley,LUCP,Priority place,
Barnsley Metropolitan Borough Council,NPO,,0,0,195723,Libraries,North,Yorkshire and The Humber,Barnsley Central,Barnsley,LUCP,Priority place,
Barnsley Museums,NPO,,466500,475084,475084,Museums,North,Yorkshire and The Humber,Barnsley Central,Barnsley,LUCP,Priority place,
Bath Spa University Paper Nations,NPO,,0,0,201020,Literature,South West,South West,Bath,Bath and North East Somerset,Non-LUCP,Non-Priority place,
Battersea Arts Centre,NPO,,693897,706665,706665,Theatre,London,London,Battersea,Wandsworth,Non-LUCP,Non-Priority place,
BCP Council,NPO,,150000,152760,152760,Combined arts,South West,South West,Bournemouth West,"Bournemouth, Christchurch and Poole",Non-LUCP,Non-Priority place,
Beacon Collaborative,IPSO,,0,0,163333,Not discipline specific,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,
Beaford Arts,NPO,,95894,97658,159758,Combined arts,South West,South West,North Devon,North Devon,LUCP,Priority place,
Beamish Museum,NPO,,436776,444813,444813,Museums,North,North East,North Durham,County Durham,LUCP,Priority place,
Beavers Arts Ltd.,NPO,,80000,81472,81472,Combined arts,Midlands,West Midlands,Stoke-on-Trent Central,Stoke-on-Trent,LUCP,Priority place,
Bedford Borough Council,NPO,,0,0,65000,Museums,South East,East of England,Bedford,Bedford,Non-LUCP,Non-Priority place,
Bedford Creative Arts,NPO,,143740,146385,146385,Combined arts,South East,East of England,Bedford,Bedford,Non-LUCP,Non-Priority place,
Belgrade Theatre Trust (Coventry) Ltd,NPO,,942215,959552,1229552,Theatre,Midlands,West Midlands,Coventry South,Coventry,Non-LUCP,Non-Priority place,
Bermondsey Artists’ Group,NPO,,134006,136472,136472,Visual arts,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,
Bernard Leach (St Ives) Trust Limited,NPO,,40000,40736,50000,Visual arts,South West,South West,St Ives,Cornwall,Non-LUCP,Non-Priority place,
Bernie Grant Centre Partnership,NPO,,0,0,307000,Combined arts,London,London,Tottenham,Haringey,Non-LUCP,Non-Priority place,
Berwick Film & Media Arts Festival,NPO,,70000,71288,125288,Visual arts,North,North East,Berwick-upon-Tweed,Northumberland,LUCP,Non-Priority place,
Beyond Face CIC,NPO,,0,0,250000,Theatre,South West,South West,"Plymouth, Sutton and Devonport",Plymouth,Non-LUCP,Non-Priority place,
Bharatiya Vidya Bhavan Ltd,NPO,,128999,131373,131373,Music,London,London,Hammersmith,Hammersmith and Fulham,Non-LUCP,Non-Priority place,
Big Brum Theatre in Education Company,NPO,,0,0,160000,Theatre,Midlands,West Midlands,"Birmingham, Yardley",Birmingham,Non-LUCP,Non-Priority place,
Birmingham City University,NPO,,123415,125686,125686,Visual arts,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
Birmingham Contemporary Music Group,NPO,,319653,325535,325535,Music,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
Birmingham Museums Trust,NPO,,1007568,1026107,1026107,Museums,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
Birmingham Opera Company,NPO,,477644,486433,586433,Music,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
Birmingham Repertory Theatre,NPO,,1833953,1867698,1867698,Theatre,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
Birmingham Royal Ballet,NPO,,7891000,8036194,8036194,Dance,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
Black Country Living Museum Trust,NPO,,550000,560120,760120,Museums,Midlands,West Midlands,Dudley North,Dudley,LUCP,Priority place,
Black Country Touring,NPO,,143497,146137,307225,Combined arts,Midlands,West Midlands,Warley,Sandwell,LUCP,Priority place,
Black Lives in Music,IPSO,,0,0,325000,Music,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
Blackburn Museum and Art Gallery,NPO,,0,0,148000,Museums,North,North West,Blackburn,Blackburn with Darwen,LUCP,Priority place,
Blackfriars Arts Centre Ltd,NPO,,0,0,130000,Combined arts,Midlands,East Midlands,Boston and Skegness,Boston,LUCP,Priority place,
Blackpool Grand Theatre (Arts & Entertainment) Ltd,NPO,,209992,213856,463856,Theatre,North,North West,Blackpool South,Blackpool,LUCP,Priority place,
Blackpool Illuminations,NPO,,0,0,225000,Combined arts,North,North West,Blackpool South,Blackpool,LUCP,Priority place,
Blast Theory,NPO,,134157,136625,136625,Visual arts,South East,South East,Hove,Brighton and Hove,Non-LUCP,Non-Priority place,
Blink Dance Theatre,NPO,,0,0,258599,Dance,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,
Bloodaxe Books Ltd,NPO,,92032,93725,110000,Literature,North,North East,Hexham,Northumberland,LUCP,Non-Priority place,
Bloomin' Buds Theatre Company Limited,NPO,,0,0,100000,Theatre,North,Yorkshire and The Humber,Bradford East,Bradford,Non-LUCP,Non-Priority place,
BOM (Birmingham Open Media),NPO,,142600,145224,290448,Visual arts,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
Book Works,NPO,,176512,179760,179760,Visual arts,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,
BookTrust,NPO,,0,0,5763099,Literature,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,
Boundless Theatre,NPO,,186063,189487,189487,Theatre,London,London,Croydon North,Croydon,Non-LUCP,Priority place,
Bournemouth Symphony Orchestra,NPO,,2554790,2601798,2601798,Music,South West,South West,Poole,"Bournemouth, Christchurch and Poole",Non-LUCP,Non-Priority place,
Bow Arts Trust,NPO,,50290,51215,51215,Visual arts,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
Box Clever Theatre Company,NPO,,0,0,80000,Theatre,Midlands,East Midlands,Louth and Horncastle,East Lindsey,LUCP,Priority place,
Boy Blue,NPO,,200000,203680,403680,Dance,London,London,Cities of London and Westminster,City of London,Non-LUCP,Non-Priority place,
Bradford Museums & Galleries,NPO,,0,0,381770,Museums,North,Yorkshire and The Humber,Bradford West,Bradford,Non-LUCP,Non-Priority place,
Brass Bands England,IPSO,,207000,210809,405809,Music,North,Yorkshire and The Humber,Barnsley Central,Barnsley,LUCP,Priority place,
Bridport Arts Centre,NPO,,57412,58468,58468,Combined arts,South West,South West,West Dorset,Dorset,Non-LUCP,Non-Priority place,
Brighter Sound,NPO,,0,0,192000,Music,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Brighton Dome & Festival Limited,NPO,,1149921,1171080,1171080,Combined arts,South East,South East,"Brighton, Pavilion",Brighton and Hove,Non-LUCP,Non-Priority place,
Bristol Museums,NPO,,1339670,1364320,1364320,Museums,South West,South West,Bristol South,"Bristol, City of",Non-LUCP,Non-Priority place,
Bristol Music Trust,NPO,,325000,330980,330980,Music,South West,South West,Bristol West,"Bristol, City of",Non-LUCP,Non-Priority place,
Bristol Old Vic and Theatre Royal Trust Ltd,NPO,,1228381,1250983,1250000,Theatre,South West,South West,Bristol West,"Bristol, City of",Non-LUCP,Non-Priority place,
British Motor Industry Heritage Trust,NPO,,220000,224048,224048,Museums,Midlands,West Midlands,Kenilworth and Southam,Stratford-on-Avon,Non-LUCP,Non-Priority place,
British Textile Biennial,NPO,,0,0,220000,Visual arts,North,North West,Blackburn,Blackburn with Darwen,LUCP,Priority place,
British Underground Ltd,NPO,,151406,154192,179192,Music,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,
British Youth Music Theatre,NPO (Transfer),Yes,77519,78945,151426,Music,London,London,Camberwell and Peckham,Southwark,Non-LUCP,Non-Priority place,
British Youth Opera,NPO,,42621,43405,50000,Music,London,London,Putney,Wandsworth,Non-LUCP,Non-Priority place,
Britten Pears Arts,NPO,,1403019,1428835,1428835,Music,South East,East of England,Suffolk Coastal,East Suffolk,Non-LUCP,Non-Priority place,
Brownswood Music Ltd,NPO,,89000,90638,90638,Music,London,London,Hackney North and Stoke Newington,Hackney,Non-LUCP,Non-Priority place,
b-side Multimedia Festival CIC,NPO,,133651,151386,134881,Combined arts,South West,South West,South Dorset,Dorset,Non-LUCP,Non-Priority place,
Bucks County Museum,NPO,,100000,101840,101840,Museums,South East,South East,Aylesbury,Buckinghamshire,Non-LUCP,Non-Priority place,
Bureau of Silly Ideas,NPO,,40232,40972,50000,Combined arts,London,London,Dulwich and West Norwood,Lambeth,Non-LUCP,Non-Priority place,
Burnley Youth Theatre,NPO,,63365,64531,130000,Theatre,North,North West,Burnley,Burnley,LUCP,Non-Priority place,
Burton Art Gallery and Museum,NPO,,83600,85138,85138,Visual arts,South West,South West,Torridge and West Devon,Torridge,LUCP,Non-Priority place,
Buxton Arts Festival Ltd,NPO,,120000,122208,122208,Music,Midlands,East Midlands,High Peak,High Peak,Non-LUCP,Non-Priority place,
buxton opera house,NPO,,0,0,300000,Combined arts,Midlands,East Midlands,High Peak,High Peak,Non-LUCP,Non-Priority place,
Camden Arts Centre,NPO,,919673,936595,600000,Visual arts,London,London,Hampstead and Kilburn,Camden,Non-LUCP,Non-Priority place,
Camden People's Theatre,NPO,,70000,71288,71288,Theatre,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
Candoco Dance Company,NPO,,447889,456130,456130,Dance,London,London,Camberwell and Peckham,Southwark,Non-LUCP,Non-Priority place,
Capsule Events Ltd,NPO,,175000,178220,178220,Music,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
Carcanet Press Limited,NPO,,120696,122917,122917,Literature,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Cardboard Citizens,NPO,,160000,162944,162944,Theatre,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
Carnival Village Trust,NPO,,400000,407360,453860,Combined arts,London,London,Kensington,Kensington and Chelsea,Non-LUCP,Non-Priority place,
Carousel Project,NPO,,197488,201122,215000,Music,South East,South East,"Brighton, Pavilion",Brighton and Hove,Non-LUCP,Non-Priority place,
Cartwheel Arts,NPO,,0,0,157930,Combined arts,North,North West,Heywood and Middleton,Rochdale,LUCP,Priority place,
Cast,NPO,,320000,325888,325888,Combined arts,North,Yorkshire and The Humber,Doncaster Central,Doncaster,LUCP,Non-Priority place,
Castlefield Gallery,NPO,,70000,71288,71288,Visual arts,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Cause4,IPSO,,500000,509200,509200,Not discipline specific,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,
Cement Fields,NPO,,240000,244416,244416,Visual arts,South East,South East,Canterbury,Canterbury,Non-LUCP,Non-Priority place,
esea contemporary,NPO,,287481,292771,292771,Visual arts,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Certain Blacks,NPO,,0,0,210000,Combined arts,London,London,West Ham,Newham,Non-LUCP,Priority place,
Dialled In,NPO,,0,0,60000,Music,London,London,Poplar and Limehouse,Tower Hamlets,Non-LUCP,Non-Priority place,
Chapel Arts Studios,NPO,,145002,147670,147670,Visual arts,South West,South East,North West Hampshire,Test Valley,Non-LUCP,Non-Priority place,
Charnwood Arts,NPO,,131759,134183,134183,Combined arts,Midlands,East Midlands,Loughborough,Charnwood,Non-LUCP,Non-Priority place,
Chatham Historic Dockyard Trust,NPO,,245000,249508,249508,Museums,South East,South East,Rochester and Strood,Medway,LUCP,Priority place,
Cheltenham Festivals,NPO,,213551,217480,217480,Combined arts,South West,South West,Cheltenham,Cheltenham,Non-LUCP,Non-Priority place,
Cheshire Dance,NPO,,88208,89831,89831,Dance,North,North West,Eddisbury,Cheshire West and Chester,Non-LUCP,Non-Priority place,
Cheshire West and Chester Council,NPO,,87398,89006,50000,Combined arts,North,North West,City of Chester,Cheshire West and Chester,Non-LUCP,Non-Priority place,
Chichester Festival Theatre,NPO,,1740214,1772234,1772234,Theatre,South East,South East,Chichester,Chichester,Non-LUCP,Non-Priority place,
Children's Discovery Centre East London,NPO,,93870,95597,95597,Literature,London,London,West Ham,Newham,Non-LUCP,Priority place,
China Plate,NPO,,249000,253582,253582,Theatre,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
Chineke Foundation,NPO,,0,0,700000,Music,London,London,Cities of London and Westminster,City of London,Non-LUCP,Non-Priority place,
Chisenhale Gallery,NPO,,165378,168421,168421,Visual arts,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
Chol International Arts,NPO,,0,0,95000,Theatre,North,Yorkshire and The Humber,Colne Valley,Kirklees,LUCP,Priority place,
Cinder House Publishing Limited,NPO,,0,0,150000,Literature,North,North West,"Liverpool, Wavertree",Liverpool,Non-LUCP,Non-Priority place,
Cinderford Artspace,NPO,,47948,48830,50000,Combined arts,South West,South West,Forest of Dean,Forest of Dean,LUCP,Non-Priority place,
City Arts Nottingham,NPO,,103408,105311,105311,Combined arts,Midlands,East Midlands,Nottingham South,Nottingham,Non-LUCP,Non-Priority place,
City of Birmingham Symphony orchestra,NPO,,2180983,2221113,2221113,Music,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
Claybody Theatre,NPO,,0,0,150000,Theatre,Midlands,West Midlands,Newcastle-under-Lyme,Newcastle-under-Lyme,Non-LUCP,Non-Priority place,
Clean Break Theatre Company Ltd,NPO,,216195,220173,220173,Theatre,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
Clod Ensemble,NPO,,120696,122917,122917,Theatre,London,London,Greenwich and Woolwich,Greenwich,Non-LUCP,Non-Priority place,
CLPE,NPO,,0,0,110000,Literature,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,
CoDa Dance Company,NPO,,0,0,137500,Dance,South East,East of England,Thurrock,Thurrock,LUCP,Non-Priority place,
Cohesion Plus Kent,NPO,,104375,106296,188796,Combined arts,South East,South East,Gravesham,Gravesham,LUCP,Non-Priority place,
Colchester Arts Centre,NPO,,190695,194204,219204,Combined arts,South East,East of England,Colchester,Colchester,Non-LUCP,Non-Priority place,
Colchester Borough Council,NPO,,199250,202916,398016,Museums,South East,East of England,Colchester,Colchester,Non-LUCP,Non-Priority place,
Colchester Mercury Theatre Ltd.,NPO,,777378,791682,791682,Theatre,South East,East of England,Colchester,Colchester,Non-LUCP,Non-Priority place,
Collar and TIE Ltd,NPO,,71383,72696,72696,Combined arts,Midlands,West Midlands,Worcester,Worcester,Non-LUCP,Non-Priority place,
Collections Trust,IPSO,,230000,234232,234232,Museums,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,
Collusion,NPO,,0,0,150000,Combined arts,South East,East of England,Cambridge,Cambridge,Non-LUCP,Non-Priority place,
CoMA,NPO,,0,0,115000,Music,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
Comma Press,NPO,,83160,84690,98380,Literature,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Common Wealth,NPO,,145000,147668,147668,Theatre,North,Yorkshire and The Humber,Bradford West,Bradford,Non-LUCP,Non-Priority place,
Commonword Enterprises Limited,NPO,,94247,95981,171854,Literature,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Community and Cultural Services,NPO,,173745,176942,176942,Libraries,South East,East of England,Cambridge,Cambridge,Non-LUCP,Non-Priority place,
Community Arts North West,NPO,,191102,194618,194618,Combined arts,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Community Music Ltd,NPO,,133961,136426,136426,Music,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
Como No Promotions Ltd,NPO,,0,0,125000,Music,London,London,Dulwich and West Norwood,Southwark,Non-LUCP,Non-Priority place,
Company Chameleon,NPO,,249999,254599,329599,Dance,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Company of Others,NPO,,0,0,220000,Dance,North,North East,Newcastle upon Tyne East,Newcastle upon Tyne,Non-LUCP,Non-Priority place,
Company Three,NPO,,0,0,175000,Theatre,London,London,Islington North,Islington,Non-LUCP,Non-Priority place,
