"Charity Number","Charity Subsidiary Number","Charity Name","Charity Address","Charity Postcode","Charity Constituency","Phone","Email","Website","Last Recorded Financial Year","Last Recorded Income","Last Recorded Expenditure","Charity Status","Charity Type","How the charity helps","What the charity does","Who the charity helps","Activities","Charity Objects"
"260431","0","FELLING MALE VOICE CHOIR","11 FINSTOCK COURT, NEWCASTLE UPON TYNE","NE3 1TR","Newcastle upon Tyne East","0191 2845364","dennisbarkwill@talktalk.net","www.fmvc.org","31/12/2023","28049","17487","Registered","Other","Other Charitable Activities","Arts/culture/heritage/science","Other Charities Or Voluntary Bodies, The General Public/mankind","A NON-POLITICAL, NON-SECTARIAN CHOIR WHO SEEK TO INTEREST THE PUBLIC IN THE ART OF SINGING BY PARTICIPATING AND ASSISTING IN CONCERTS AND SIMILAR ACTIVITIES. THROUGH THESE ACTIVITIES THE CHOIR IS ALSO ABLE, ON OCCASIONS, TO PROVIDE FINANCIAL ASSISTANCE AND SUPPORT TO A NUMBER OF LOCAL, NATIONAL AND INTERNATIONAL CHARITABLE ORGANISATIONS.","TO EDUCATE THE PUBLIC IN THE ARTS AND IN PARTICULAR THE ART OF SINGING BY ASSISTING IN AND TAKING PART IN CONCERTS AND SIMILAR ACTIVITIES."
"272161","0","THE HADRIAN TRUST","19 Windmill Way, MORPETH, Northumberland","NE61 1XQ","Wansbeck","07531145789","enquiries@hadriantrust.co.uk","www.hadriantrust.co.uk","30/09/2023","259731","255658","Registered","Trust","Makes Grants To Organisations","Education/training, Disability, Accommodation/housing, Arts/culture/heritage/science, Environment/conservation/heritage, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies","A grant giving trust","SUCH CHARITABLE OBJECT OR OBJECTS OR SUCH CHARITABLE PURPOSE OR PURPOSES AS THE TRUSTEES MAY IN THEIR ABSOLUTE DISCRETION SELECT."
"273386","0","THE LIGHT DRAGOONS HERITAGE TRUST (MUSEUM OF THE LIGHT DRAGOONS)","HOME HEADQUARTERS, THE LIGHT DRAGOONS, FENHAM BARRACKS, NEWCASTLE UPON TYNE","NE2 4NP","Newcastle upon Tyne Central","07766761799","mail@lightdragoons.org.uk","www.lightdragoons.org.uk","05/04/2023","32142","20001","Registered","Other","Provides Advocacy/advice/information, Sponsors Or Undertakes Research","Education/training, Arts/culture/heritage/science, Environment/conservation/heritage, Economic/community Development/employment","Children/young People, Elderly/old People, The General Public/mankind","Providing information and public awareness of the Regiment it's role,achievement and local connections through interesting and innovative display of the collections thereby contributing to the projection of a positive image of the Army.","TO UPHOLD THE TRADITIONS OF THE 15TH/19TH KINGS ROYAL HUSSARS AND TO PERPETUATE ITS DEEDS."
"273744","0","THE SOCIETY OF FRIENDS OF THE REGIMENTAL MUSEUM OF THE FORMER DURHAM LIGHT INFANTRY","12 SPRINGWELL CLOSE, BILLINGHAM","TS23 3FB","Stockton North","01642870481","","","31/12/2023","1424","1025","Registered","Other","Makes Grants To Organisations, Provides Human Resources, Sponsors Or Undertakes Research","General Charitable Purposes, Education/training, Arts/culture/heritage/science, Environment/conservation/heritage","Children/young People, Elderly/old People, People With Disabilities, Other Defined Groups, The General Public/mankind","Raise funds in support of the DLI CollectionTo assist with the conservation, identification and cataloguing of the DLI CollectionPurchase of artefacts such as medals for the benefit of the DLI CollectionEducational training for school groups, elderly and old people, and other Public groupsThe provision of research to tell the story of the DLI soldier.Tell the story of the DLI soldier","TO ADVANCE THE EDUCATION OF THE PUBLIC AND PROMOTE THE EFFICIENCY OF THE ARMED FORCES OF THE CROWN."
"328149","0","THE SQUIRES FOUNDATION","COMMUNITY FOUNDATION, PHILANTHROPY HOUSE, WOODBINE ROAD, NEWCASTLE UPON TYNE","NE3 1DD","Newcastle upon Tyne Central","0191 222 0945","general@communityfoundation.org.uk","","16/03/2023","231700","134084","Registered","Other","Makes Grants To Organisations","The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Religious Activities, Arts/culture/heritage/science, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies","The Foundation supports the following; Social Welfare - particularly the relief of need, hardship and distress, Community Development, work which supports Children, Young People and the Elderly, local Hospitals and Hospices and Christian Activities.  Grants can be one-off or recurrent and are made primarily in Tyneside and Northumberland.","1. THE ADVANCEMENT OF CHRISTIANITY. 2. THE RELIEF OF NEED, HARDSHIP, DISTRESS, AGE OR SICKNESS. 3. THE PROVISION OF CHRISTIAN EDUCATION."
"500907","0","THE MANSION HOUSE","C/O LINDA SCOTT, DEMOCRATIC SERVICES TEAM MANAGER, CITY OF NEWCASTLE UPON TYNE, CIVIC CENTRE  BARRAS BRIDGE, NEWCASTLE UPON TYNE","NE1 8QH","Newcastle upon Tyne East","01912115159","","www.newcastle.gov.uk/mansionhouse","31/03/2023","46910","174394","Registered","Other","Provides Buildings/facilities/open Space","General Charitable Purposes, Arts/culture/heritage/science, Amateur Sport, Environment/conservation/heritage, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, The General Public/mankind","The Mansion House represents the official residence of the Lord Mayor and as such is used for a wide range of Civic events, such as Civic lunches and dinners, the Lady Mayoress at HOME receptions for visiting dignitaries to the City and coffee mornings in aid of local charities, particularly those linked to the Lord Mayor's themes for their year in office.","TO PROVIDE A MANSION HOUSE FOR THE CITY AND COUNTY OF NEWCASTLE UPON TYNE."
"502592","0","TYNESIDE CINEMA","Tyneside Cinema, Newe House, 10 Pilgrim Street, Newcastle upon Tyne","NE1 6QG","Newcastle upon Tyne Central","0191 2275500","boxoffice@tynesidecinema.co.uk","www.tynesidecinema.co.uk","31/03/2022","3908984","3490524","Registered","Charitable company","Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","Education/training, Arts/culture/heritage/science, Environment/conservation/heritage, Recreation","The General Public/mankind","Advancement of education, understanding and appreciation of the arts, including audio visual arts, primarily but not exclusively for the benefit of the public in the North East of England, through creation and presentation of moving image works, literature, music and live public events, educational and training projects and by any other charitable means.","TO PROMOTE, MAINTAIN IMPROVE AND ADVANCE EDUCATION PARTICULARLY BY THE PROMOTION AND ENCOURAGEMENT OF THE APPRECIATION AND STUDY OF THE ARTS BY THE PUBLIC WITH A VIEW TO THE IMPROVEMENT OF THEIR ARTISTIC TASTES. (FOR FURTHER DETAILS SEE CLAUSE 3 OF MEMO)"
"503478","0","NORTHERN PRAECLASSICA","13 WEST AVENUE, GOSFORTH, NEWCASTLE UPON TYNE","NE3 4ES","Newcastle upon Tyne Central","01912845451","angelakbrown@gmail.com","www.northernpraeclassica.org","31/12/2023","5050","3577","Registered","Other","Provides Human Resources","Education/training, Arts/culture/heritage/science","Other Charities Or Voluntary Bodies, The General Public/mankind","Putting on choral concerts to entertain members of the public, sometimes raising income to fund the expenses of other concerts but also to support other charities.","TO ADVANCE, IMPROVE, DEVELOP AND MAINTAIN PUBLIC EDUCATION IN, AND APPRECIATION OF, THE ART AND SCIENCE OF CHORAL MUSIC IN ALL ITS ASPECTS BY ANY MEANS THE TRUSTEES SEE FIT, INCLUDING THE PRESENTATION OF PUBLIC CONCERTS AND RECITALS.

TO FURTHER SUCH CHARITABLE PURPOSE OR PURPOSES AS THE TRUSTEES IN THEIR ABSOLUTE DISCRETION SHALL THINK FIT BUT IN PARTICULAR THROUGH THE MAKING OF GRANTS AND DONATIONS."
"504178","0","NORTH EAST AREA MINERS'  SOCIAL WELFARE TRUST FUND","c/o CISWO, The Old Rectory, Rectory Drive, Whiston, Rotherham","S60 4JG","Rother Valley","01709 728115","rick.otoole@ciswo.org.uk","","30/09/2023","67023","626788","Registered","Trust","Makes Grants To Organisations, Provides Human Resources, Provides Buildings/facilities/open Space, Acts As An Umbrella Or Resource Body, Other Charitable Activities","Education/training, Disability, The Prevention Or Relief Of Poverty, Arts/culture/heritage/science, Amateur Sport, Environment/conservation/heritage, Economic/community Development/employment, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, Other Defined Groups","Promotion of health, the relief of poverty, advancement of training and social and recreational activities, provision of convalescence for the relief of sickness of beneficiaries.","FOR SUCH CHARITABLE PURPOSES WITHIN THE OBJECTS OF THE ORGANISATION IN THE COUNTIES OF NORTHUMBERLAND, DURHAM AND TYNE AND WEAR AS THE COUNCIL OF THE ORGANISATION MAY AFTER CONSULTATION WITH THE WELFARE COMMITTEE DETERMINE"
"504473","0","NEWCASTLE THEATRE ROYAL TRUST LIMITED","THEATRE ROYAL, 100 GREY STREET, NEWCASTLE UPON TYNE","NE1 6BR","Newcastle upon Tyne Central","01912442500","colin.johnston@theatreroyal.co.uk","www.theatre.royal.co.uk","31/03/2023","17281991","15626400","Registered","Charitable company","Provides Buildings/facilities/open Space, Provides Services, Other Charitable Activities","Education/training, Arts/culture/heritage/science, Recreation","Children/young People, The General Public/mankind","A leading presenting theatre and music venue whose aim is to bring entertainment and inspiration to the North East through offering a programme of quality and diversity covering all major art forms.","TO PROMOTE,MAINTAIN,IMPROVE AND ADVANCE EDUCATION PARTICULARLY BY THE PRODUCTION OF EDUCATIONAL PLAYS AND THE ENCOURAGEMENT OF THE ARTS,INCLUDING THE ARTS OF DRAMA,MIME,DANCE,SINGING AND MUSIC AND TO FORMULATE,PREPARE AND ESTABLISH SCHEMES THEREFORE PROVIDING THAT ALL OBJECTS OF THE COMPANY SHALL BE EXCLUSIVELY CHARITABLE."
"505083","0","JOHN GEORGE JOICEY BEQUEST","ETAL MANOR HOUSE, ETAL, CORNHILL-ON-TWEED","TD12 4TL","Berwick-upon-Tweed","01890820655","joicey@ford-and-etal.co.uk","","31/03/2023","7277","6941","Registered","Other","Makes Grants To Organisations","Education/training, Arts/culture/heritage/science","The General Public/mankind","To maintain a Museum collection.  The collection is currently incorporated with the Newcastle Discovery Museum, operated by Tyne & Wear Museums, with whom the Trustees have a Loan Agreement.","FOR THE PURPOSE OF FOUNDING A MUSEUM IN NEWCASTLE-ON-TYNE TO BE CALLED THE JOHN GEORGE JOICEY MUSEUM, THE BEQUEST TO BE APPLIED FOR SUCH PURPOSE IN SUCH MANNER AS MA BE DIRECTED BY A COMMITTEE."
"505783","0","THE LAING ART GALLERY","Tyne & Wear Archives & Museums, Discovery Museum, Blandford Square, NEWCASTLE UPON TYNE","NE1 4JA","Newcastle upon Tyne Central","01912772158","jackie.reynolds@twmuseums.org.uk","www.twmuseums.org.uk","31/03/2023","0","0","Registered","Trust","Provides Buildings/facilities/open Space","Education/training, Arts/culture/heritage/science, Environment/conservation/heritage","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, The General Public/mankind","The Laing Art Gallery was founded in 1901 by Alexander Laing. The present site of the Gallery was suggested in 1899 and the following year Alexander Laing offered --£20,000 to the local council, which unanimously accepted his generous donation. The Laing in now managed on behalf of Newcastle City Council by Tyne & Wear Archives & Museums.","PROVISION AND MAINTENANCE OF AN ART GALLERY"
"507385","0","JOHN WIGHAM RICHARDSON CHARITY","Tyne & Wear Archives & Museums, Discovery Museum, Blandford Square, NEWCASTLE UPON TYNE","NE1 4JA","Newcastle upon Tyne Central","01912772158","jackie.reynolds@twmuseums.org.uk","","31/03/2023","660","0","Registered","Other","Acts As An Umbrella Or Resource Body","Arts/culture/heritage/science","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","John Wigham Richardson gave Newcastle City Council a lump sum to enable it to purchase pictures for the benefit of Newcastle upon Tyne. The City Council owns the Laing Art Gallery, which is operated on its behalf by Tyne & Wear Archives & Museums. The Laing Art Gallery utilises the funds within the John Wigham Richardson Charity to enable it to purchase pictures.","TO PURCHASE PICTURES AND OBJECTS OF ART TO BE EXHIBITED IN PUBLIC ART GALLERIES. TO MAINTAIN AND MANAGE SUCH BUILDINGS AND OTHER PREMISES AS ARE NOW OR MAY HEREAFTER BE USED AS PUBLIC ART GALLERIES BY THE TRUSTEES. TO REPAIR AND MAINTAIN ANY PICTURES OR OBJECTS OF ART PURCHASED BY THE TRUST. (FOR FURTHER DETAILS SEE DECLARATION OF TRUST)."
"507509","0","JAZZ NORTH-EAST LIMITED","14 Kirkstone Gardens, NEWCASTLE UPON TYNE","NE7 7AN","Newcastle upon Tyne East","07527849111","melaniegrundy@doctors.org.uk","www.jazznortheast.com","31/03/2023","34623","30453","Registered","Charitable company","Other Charitable Activities","Arts/culture/heritage/science","The General Public/mankind","Jazz North East promotes grant-aided jazz concerts, festivals and workshops both alone and in partnership with other not-for-profit organisations. We aim to provide opportunities to hear and on occasion work with artists of the highest quality from our own region, from the wider UK and from overseas. We keep admission prices low to encourage attendance by young people and the unemployed.","TO PROMOTE, MAINTAIN, IMPROVE AND ADVANCE EDUCATION PARTICULARLY BY ENCOURAGING AND FOSTERING THE UNDERSTANDING, KNOWLEDGE, APPRECIATION AND DEVELOPMENT OF MUSIC ESPECIALLY JAZZ AND ITS ASSOCIATED FORMS OF MUSIC."
"507520","0","NEWCASTLE UPON TYNE BACH CHOIR SOCIETY","11 NORTHUMBERLAND AVENUE, FOREST HALL, NEWCASTLE UPON TYNE","NE12 9NR","North Tyneside","01912661065","chair@newcastlebachchoir.org.uk","www.newcastlebachchoir.org.uk","31/07/2023","26217","24460","Registered","Other","Other Charitable Activities","Education/training, Arts/culture/heritage/science","The General Public/mankind","The Newcastle Bach Choir holds 3 or 4 public concerts annually, one of which is always a Bach work.  It also aims to perform works by twentieth century British composers on a regular basis.","TO ADVANCE, IMPROVE, DEVELOP PUBLIC EDUCATION IN, AND APPRECIATION OF, THE ART AND SCIENCE OF MUSIC IN ALL ITS ASPECTS BY ANY MEANS THE TRUSTEES SEE FIT, INCLUDING THROUGH THE PRESENTATION OF PUBLIC CONCERTS AND OTHER CHARITABLE ACTIVITIES."
"507640","0","MORPETH ANTIQUARIAN SOCIETY","14 Edward Street, MORPETH, Northumberland","NE61 1UR","Wansbeck","07887 594161","enquiries@northumbriana.org.uk","www.northumbriana.org.uk/antiquarians","31/03/2023","5125","9117","Registered","Other","Provides Advocacy/advice/information, Acts As An Umbrella Or Resource Body","Arts/culture/heritage/science, Environment/conservation/heritage, Economic/community Development/employment","The General Public/mankind","M.A.S. is a local history society that presents a series of lectures, outings and an annual exhibitiion.
It is also actively trying to establish a local museum/heritage centre based on The Society's own collection.","A TO STIMULATE PUBLIC INTEREST IN THE AREA OF NORTHUMBERLAND AND ADJOINING COUNTIES AND ESPECIALLY THE WANSBECK AND COQUET DISTRICTS.   B. TO PROMOTE HIGH STANDARDS OF PLANNING AND ARCHITECTURE IN THE AREA OF BENEFIT. C TO SECURE THE PRESERVATION, PROTECTION AND DEVELOPMENT AND IMPROVEMENT OF FEATURES OF HISTORIC OR PUBLIC INTEREST IN THE AREA OF BENEFIT."
"508234","0","NEW TYNESIDE ORCHESTRAL SOCIETY","2 SILVERDALE ROAD, CRAMLINGTON","NE23 3LW","Blyth Valley","01670733752","kirstypearson24@yahoo.co.uk","newtyneorch.org.uk","31/08/2023","12772","9339","Registered","Other","Provides Services","Arts/culture/heritage/science","Other Defined Groups","Orchestral Playing","TO EDUCATE THE PUBLIC IN THE ART AND SCIENCE OF MUSIC BY THE PRESENTATION OF CONCERTS AND OTHER ACTIVITIES."
"510022","0","THE NELL BANK QUEEN'S SILVER JUBILEE CENTRE TRUST","9 WESTWOOD RISE, ILKLEY","LS29 9SW","Keighley","01943608537","nickh@flexiform.co.uk","nellbank.com","31/08/2023","0","0","Registered","Trust","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Advocacy/advice/information","Education/training, Disability, The Prevention Or Relief Of Poverty, Religious Activities, Arts/culture/heritage/science, Amateur Sport, Animals, Environment/conservation/heritage, Economic/community Development/employment","Children/young People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, The General Public/mankind","Day / residential outdoor, environmental and adventure education  across  age / ability range . Nationally significant for inclusion of disadvantaged, sensory impaired and physically disabled visitors. Raised teaching ponds, modified adventure facilities and vehicle for disabled access to mainstream orienteering and habitats. Use of Ilkley Moor, River Wharfe and 100 acres bluebell woodland.","A) FURTHERING THE EDUCATION OF YOUNG PEOPLE IN THE PRINCIPLES OF RESPONSIBLE CITIZENSHIP BY PRIVIDING THEM WITH TRAINING AND OPPORTUNITIES FOR ASSISTING IN THE FURTHERANCE OF THE RECREATIONAL PURPOSES HEREINAFTER SET OUT AND FOR UNDERTAKING OTHER FORMS OF COMMUNITY SERVICE WHICH WOULD SERVE A CHARITABLE PURPOSE. B) IN THE INTERESTS OF SOCIAL WELFARE OF PROVIDING OR ASSISTING IN THE PROVISION OF FACILITIES FOR RECREATION OR OTHER LEISURE TIME OCCUPATION OR PERSONS WHO BY REASON OF THEIR YOUTH AGE AND/OR PHYSICAL OR MENTAL HANDICAP HAVE NEED FOR SUCH FACILITIES (FOR FURTHER DETAILS SEE CLAUSE 2 OF DEED)."
"511897","0","COQUETDALE ARTS CENTRE","THE PELE HOUSE, CAMBO, MORPETH","NE61 4BA","Berwick-upon-Tweed","07919103196","coartcentre@aol.com","www.coquetdalearts.co.uk","31/12/2023","15993","16165","Registered","Other","Provides Services","Education/training, Arts/culture/heritage/science","The General Public/mankind","Offers opportunities for Artists of all levels to display and sell own work to the general public.The centre offers art tuition to the general public. It also passes on information relevant for the visitor and tourist visiting Northumberland.","I) TO FOSTER, PROMOTE AND INCREASE A KNOWLEDGE AND APPRECIATION OF THE ARTS THROUGH EXHIBITION, TUITION, AND OTHER EVENTS.  
II)TO PROVIDE AN OPPORTUNITY FOR THE DISPLAY OF VISUAL ARTS AND CRAFTS BY LOCAL AND OTHER ARTISTS AND CRAFTSMAKERS."
