organisation,registered_name,company_number,uri,post_town,postcode,company_category,company_status,sic_code,incorporation_date,dissolution_date
New Writing North,NEW WRITING NORTH,03166037,http://business.data.gov.uk/id/company/03166037,NEWCASTLE UPON TYNE,NE1 8ST,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,['90020 - Support activities to performing arts'],1996-02-29,
Norfolk Street Arts Community Interest Company,NORFOLK STREET ARTS COMMUNITY INTEREST COMPANY,11764907,http://business.data.gov.uk/id/company/11764907,SUNDERLAND,SR1 3HT,Community Interest Company,Active,['90030 - Artistic creation' '90040 - Operation of arts facilities'],2019-01-14,
North Music Trust,NORTH MUSIC TRUST,04044936,http://business.data.gov.uk/id/company/04044936,GATESHEAD,NE8 2JR,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,"['90010 - Performing arts' '90020 - Support activities to performing arts'
 '90030 - Artistic creation' '90040 - Operation of arts facilities']",2000-08-01,
Northern Heartlands,NORTHERN HEARTLANDS,CE019563,http://business.data.gov.uk/id/company/CE019563,,,Charitable Incorporated Organisation,Active,['None Supplied'],2019-11-13,
November Club,NOVEMBER CLUB,02612362,http://business.data.gov.uk/id/company/02612362,MORPETH,NE61 1BE,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,['90010 - Performing arts'],1991-05-20,
Open Clasp Theatre Company,OPEN CLASP THEATRE COMPANY,05137687,http://business.data.gov.uk/id/company/05137687,NEWCASTLE UPON TYNE,NE4 6SQ,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,['90010 - Performing arts'],2004-05-25,
Opera Sunderland,OPERA SUNDERLAND,08902353,http://business.data.gov.uk/id/company/08902353,SUNDERLAND,SR3 3NR,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,"['90010 - Performing arts' '90020 - Support activities to performing arts'
 '90030 - Artistic creation']",2014-02-19,
Paul Miller,PAUL MILLER,11643231,http://business.data.gov.uk/id/company/11643231,LONDON,N1 7GU,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,['82990 - Other business support service activities n.e.c.'],2018-10-25,
Periplum CIC,PERIPLUM CIC,13255638,http://business.data.gov.uk/id/company/13255638,HUDDERSFIELD,HD4 6LF,Community Interest Company,Active,['90010 - Performing arts' '90020 - Support activities to performing arts'],2021-03-10,
Primate Productions Ltd,PRIMATE PRODUCTIONS LTD,06430335,http://business.data.gov.uk/id/company/06430335,WHITLEY BAY,NE26 1AB,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,['96090 - Other service activities n.e.c.'],2007-11-19,
Queen's Hall Arts,QUEEN'S HALL ARTS,03929839,http://business.data.gov.uk/id/company/03929839,HEXHAM,NE46 3LS,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,['90040 - Operation of arts facilities'],2000-02-21,
Redhills CIO,REDHILLS CIO,CE025082,http://business.data.gov.uk/id/company/CE025082,,,Charitable Incorporated Organisation,Active,['None Supplied'],2021-03-26,
Show Racism The Red Card,SHOW RACISM THE RED CARD,05834708,http://business.data.gov.uk/id/company/05834708,NORTH SHIELDS,NE30 2AY,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,['85590 - Other education n.e.c.'],2006-06-01,
Skimstone Arts,SKIMSTONE ARTS,06261728,http://business.data.gov.uk/id/company/06261728,NEWCASTLE UPON TYNE,NE2 1AL,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,"['90010 - Performing arts' '90030 - Artistic creation'
 '90040 - Operation of arts facilities']",2007-05-29,
Southpaw Dance Productions,SOUTHPAW DANCE PRODUCTIONS,CE028427,http://business.data.gov.uk/id/company/CE028427,,,Charitable Incorporated Organisation,Active,['None Supplied'],2022-02-23,
The Auckland Project,THE AUCKLAND PROJECT,07931440,http://business.data.gov.uk/id/company/07931440,BISHOP AUCKLAND,DL14 7JF,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,['91030 - Operation of historical sites and buildings and similar visitor attractions'],2012-02-01,
The Barn at Easington,THE BARN AT EASINGTON,08623484,http://business.data.gov.uk/id/company/08623484,PETERLEE,SR8 3UT,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,['90040 - Operation of arts facilities'],2013-07-24,
The Bowes Museum,THE BOWES MUSEUM,03879872,http://business.data.gov.uk/id/company/03879872,BARNARD CASTLE,DL12 8NP,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,['91020 - Museums activities'],1999-11-18,
The Creative Seed CIC,THE CREATIVE SEED CIC,06857368,http://business.data.gov.uk/id/company/06857368,SOUTH SHIELDS,NE33 1RA,Community Interest Company,Active,['90030 - Artistic creation'],2009-03-24,
The Lawnmowers Independent Theatre Company,THE LAWNMOWERS INDEPENDENT THEATRE COMPANY,03995521,http://business.data.gov.uk/id/company/03995521,GATESHEAD,NE10 0QD,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,"['90010 - Performing arts' '90020 - Support activities to performing arts'
 '90030 - Artistic creation' '90040 - Operation of arts facilities']",2000-05-17,
The NewBridge Project,THE NEWBRIDGE PROJECT,10582100,http://business.data.gov.uk/id/company/10582100,NEWCASTLE UPON TYNE,NE2 1AL,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,['90030 - Artistic creation' '90040 - Operation of arts facilities'],2017-01-25,
The Witham Hall Ltd,THE WITHAM HALL LTD,06959661,http://business.data.gov.uk/id/company/06959661,BARNARD CASTLE,DL12 8LY,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,['90040 - Operation of arts facilities'],2009-07-11,
Theatre Space North East CIC,THEATRE SPACE NORTH EAST CIC,10059355,http://business.data.gov.uk/id/company/10059355,SUNDERLAND,SR1 1EP,Community Interest Company,Active,['90010 - Performing arts'],2016-03-12,
Tyneside Cinema,TYNESIDE CINEMA,01113101,http://business.data.gov.uk/id/company/01113101,NEWCASTLE UPON TYNE,NE1 6QG,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,['59140 - Motion picture projection activities'],1973-05-10,
Unfolding Theatre,UNFOLDING THEATRE,06764666,http://business.data.gov.uk/id/company/06764666,NEWCASTLE UPON TYNE,NE1 2NP,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,['90010 - Performing arts'],2008-12-03,
Unlock Music CIC,UNLOCK MUSIC CIC,13277858,http://business.data.gov.uk/id/company/13277858,NEWCASTLE UPON TYNE,NE3 3QH,Community Interest Company,Active,['90030 - Artistic creation'],2021-03-19,
Vane Contemporary Art Limited,VANE CONTEMPORARY ART LIMITED,04313545,http://business.data.gov.uk/id/company/04313545,GATESHEAD,NE8 2AP,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,['90040 - Operation of arts facilities'],2001-10-30,
Woodhorn Charitable Trust,WOODHORN CHARITABLE TRUST,06893854,http://business.data.gov.uk/id/company/06893854,ASHINGTON,NE63 9YF,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,"['91020 - Museums activities'
 '91030 - Operation of historical sites and buildings and similar visitor attractions']",2009-05-01,
Workie Ticket Theatre CIC,WORKIE TICKET THEATRE CIC,11780194,http://business.data.gov.uk/id/company/11780194,NEWCASTLE UPON TYNE,NE27 0BD,Community Interest Company,Active,"['85520 - Cultural education' '90010 - Performing arts'
 '90020 - Support activities to performing arts'
 '90030 - Artistic creation']",2019-01-22,
YMCA North Tyneside,YMCA NORTH TYNESIDE,02703063,http://business.data.gov.uk/id/company/02703063,TYNE AND WEAR,NE29 0AB,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,['96090 - Other service activities n.e.c.'],1992-04-02,
tiny dragon Productions,TINY DRAGON PRODUCTIONS,13816200,http://business.data.gov.uk/id/company/13816200,NEWCASTLE UPON TYNE,NE1 1LE,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,['90010 - Performing arts' '90030 - Artistic creation'],2021-12-23,
