"DATE","GEOGRAPHY_CODE","GENDER_NAME","AGE_NAME","MEASURE_NAME","OBS_VALUE","OBS_STATUS","OBS_CONF"
"2008-11","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-11","E08000021","Total","Aged 25-49","Claimant count",3635,"A","F"
"2008-11","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-11","E08000021","Total","Aged 50+","Claimant count",970,"A","F"
"2008-11","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-12","E08000021","Total","All categories: Age 16+","Claimant count",7175,"A","F"
"2008-12","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",3.9,"A","F"
"2008-12","E08000021","Total","Age unknown (clerical claims)","Claimant count",30,"A","F"
"2008-12","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-12","E08000021","Total","Aged 16-24","Claimant count",2270,"A","F"
"2008-12","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-12","E08000021","Total","Aged 25-49","Claimant count",3860,"A","F"
"2008-12","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-12","E08000021","Total","Aged 50+","Claimant count",1015,"A","F"
"2008-12","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-01","E08000021","Total","All categories: Age 16+","Claimant count",7910,"A","F"
"2009-01","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",4.2,"A","F"
"2009-01","E08000021","Total","Age unknown (clerical claims)","Claimant count",20,"A","F"
"2009-01","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-01","E08000021","Total","Aged 16-24","Claimant count",2455,"A","F"
"2009-01","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-01","E08000021","Total","Aged 25-49","Claimant count",4305,"A","F"
"2009-01","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-01","E08000021","Total","Aged 50+","Claimant count",1130,"A","F"
"2009-01","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-02","E08000021","Total","All categories: Age 16+","Claimant count",8520,"A","F"
"2009-02","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",4.5,"A","F"
"2009-02","E08000021","Total","Age unknown (clerical claims)","Claimant count",45,"A","F"
"2009-02","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-02","E08000021","Total","Aged 16-24","Claimant count",2725,"A","F"
"2009-02","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-02","E08000021","Total","Aged 25-49","Claimant count",4565,"A","F"
"2009-02","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-02","E08000021","Total","Aged 50+","Claimant count",1185,"A","F"
"2009-02","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-03","E08000021","Total","All categories: Age 16+","Claimant count",8580,"A","F"
"2009-03","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",4.6,"A","F"
"2009-03","E08000021","Total","Age unknown (clerical claims)","Claimant count",55,"A","F"
"2009-03","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-03","E08000021","Total","Aged 16-24","Claimant count",2715,"A","F"
"2009-03","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-03","E08000021","Total","Aged 25-49","Claimant count",4620,"A","F"
"2009-03","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-03","E08000021","Total","Aged 50+","Claimant count",1190,"A","F"
"2009-03","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-04","E08000021","Total","All categories: Age 16+","Claimant count",8690,"A","F"
"2009-04","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",4.6,"A","F"
"2009-04","E08000021","Total","Age unknown (clerical claims)","Claimant count",30,"A","F"
"2009-04","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-04","E08000021","Total","Aged 16-24","Claimant count",2655,"A","F"
"2009-04","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-04","E08000021","Total","Aged 25-49","Claimant count",4780,"A","F"
"2009-04","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-04","E08000021","Total","Aged 50+","Claimant count",1230,"A","F"
"2009-04","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-05","E08000021","Total","All categories: Age 16+","Claimant count",8735,"A","F"
"2009-05","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",4.7,"A","F"
"2009-05","E08000021","Total","Age unknown (clerical claims)","Claimant count",55,"A","F"
"2009-05","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-05","E08000021","Total","Aged 16-24","Claimant count",2670,"A","F"
"2009-05","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-05","E08000021","Total","Aged 25-49","Claimant count",4790,"A","F"
"2009-05","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-05","E08000021","Total","Aged 50+","Claimant count",1220,"A","F"
"2009-05","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-06","E08000021","Total","All categories: Age 16+","Claimant count",8745,"A","F"
"2009-06","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",4.7,"A","F"
"2009-06","E08000021","Total","Age unknown (clerical claims)","Claimant count",80,"A","F"
"2009-06","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-06","E08000021","Total","Aged 16-24","Claimant count",2645,"A","F"
"2009-06","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-06","E08000021","Total","Aged 25-49","Claimant count",4805,"A","F"
"2009-06","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-06","E08000021","Total","Aged 50+","Claimant count",1215,"A","F"
"2009-06","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-07","E08000021","Total","All categories: Age 16+","Claimant count",9080,"A","F"
"2009-07","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",4.8,"A","F"
"2009-07","E08000021","Total","Age unknown (clerical claims)","Claimant count",85,"A","F"
"2009-07","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-07","E08000021","Total","Aged 16-24","Claimant count",2845,"A","F"
"2009-07","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-07","E08000021","Total","Aged 25-49","Claimant count",4910,"A","F"
"2009-07","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-07","E08000021","Total","Aged 50+","Claimant count",1240,"A","F"
"2009-07","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-08","E08000021","Total","All categories: Age 16+","Claimant count",9030,"A","F"
"2009-08","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",4.8,"A","F"
"2009-08","E08000021","Total","Age unknown (clerical claims)","Claimant count",100,"A","F"
"2009-08","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-08","E08000021","Total","Aged 16-24","Claimant count",2775,"A","F"
"2009-08","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-08","E08000021","Total","Aged 25-49","Claimant count",4935,"A","F"
"2009-08","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-08","E08000021","Total","Aged 50+","Claimant count",1220,"A","F"
"2009-08","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-09","E08000021","Total","All categories: Age 16+","Claimant count",9065,"A","F"
"2009-09","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",4.8,"A","F"
"2009-09","E08000021","Total","Age unknown (clerical claims)","Claimant count",150,"A","F"
"2009-09","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-09","E08000021","Total","Aged 16-24","Claimant count",2835,"A","F"
"2009-09","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-09","E08000021","Total","Aged 25-49","Claimant count",4860,"A","F"
"2009-09","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-09","E08000021","Total","Aged 50+","Claimant count",1225,"A","F"
"2009-09","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-10","E08000021","Total","All categories: Age 16+","Claimant count",9015,"A","F"
"2009-10","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",4.8,"A","F"
"2009-10","E08000021","Total","Age unknown (clerical claims)","Claimant count",110,"A","F"
"2009-10","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-10","E08000021","Total","Aged 16-24","Claimant count",2835,"A","F"
"2009-10","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-10","E08000021","Total","Aged 25-49","Claimant count",4820,"A","F"
"2009-10","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-10","E08000021","Total","Aged 50+","Claimant count",1250,"A","F"
"2009-10","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-11","E08000021","Total","All categories: Age 16+","Claimant count",8690,"A","F"
"2009-11","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",4.6,"A","F"
"2009-11","E08000021","Total","Age unknown (clerical claims)","Claimant count",120,"A","F"
"2009-11","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-11","E08000021","Total","Aged 16-24","Claimant count",2620,"A","F"
"2009-11","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-11","E08000021","Total","Aged 25-49","Claimant count",4690,"A","F"
"2009-11","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-11","E08000021","Total","Aged 50+","Claimant count",1255,"A","F"
"2009-11","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-12","E08000021","Total","All categories: Age 16+","Claimant count",8750,"A","F"
"2009-12","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",4.7,"A","F"
"2009-12","E08000021","Total","Age unknown (clerical claims)","Claimant count",135,"A","F"
"2009-12","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-12","E08000021","Total","Aged 16-24","Claimant count",2585,"A","F"
"2009-12","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-12","E08000021","Total","Aged 25-49","Claimant count",4760,"A","F"
"2009-12","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2009-12","E08000021","Total","Aged 50+","Claimant count",1270,"A","F"
"2009-12","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2010-01","E08000021","Total","All categories: Age 16+","Claimant count",9475,"A","F"
"2010-01","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",5.0,"A","F"
"2010-01","E08000021","Total","Age unknown (clerical claims)","Claimant count",155,"A","F"
"2010-01","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2010-01","E08000021","Total","Aged 16-24","Claimant count",2800,"A","F"
"2010-01","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2010-01","E08000021","Total","Aged 25-49","Claimant count",5170,"A","F"
"2010-01","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2010-01","E08000021","Total","Aged 50+","Claimant count",1345,"A","F"
"2010-01","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2010-02","E08000021","Total","All categories: Age 16+","Claimant count",9425,"A","F"
"2010-02","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",5.0,"A","F"
"2010-02","E08000021","Total","Age unknown (clerical claims)","Claimant count",215,"A","F"
"2010-02","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2010-02","E08000021","Total","Aged 16-24","Claimant count",2795,"A","F"
"2010-02","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2010-02","E08000021","Total","Aged 25-49","Claimant count",5075,"A","F"
"2010-02","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2010-02","E08000021","Total","Aged 50+","Claimant count",1340,"A","F"
"2010-02","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2010-03","E08000021","Total","All categories: Age 16+","Claimant count",9080,"A","F"
"2010-03","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",4.8,"A","F"
"2010-03","E08000021","Total","Age unknown (clerical claims)","Claimant count",165,"A","F"
"2010-03","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2010-03","E08000021","Total","Aged 16-24","Claimant count",2680,"A","F"
"2010-03","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2010-03","E08000021","Total","Aged 25-49","Claimant count",4965,"A","F"
"2010-03","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2010-03","E08000021","Total","Aged 50+","Claimant count",1265,"A","F"
"2010-03","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2010-04","E08000021","Total","All categories: Age 16+","Claimant count",8800,"A","F"
"2010-04","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",4.6,"A","F"
"2010-04","E08000021","Total","Age unknown (clerical claims)","Claimant count",230,"A","F"
"2010-04","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2010-04","E08000021","Total","Aged 16-24","Claimant count",2485,"A","F"
"2010-04","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2010-04","E08000021","Total","Aged 25-49","Claimant count",4850,"A","F"
"2010-04","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2010-04","E08000021","Total","Aged 50+","Claimant count",1235,"A","F"
"2010-04","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2010-05","E08000021","Total","All categories: Age 16+","Claimant count",8530,"A","F"
"2010-05","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",4.5,"A","F"
"2010-05","E08000021","Total","Age unknown (clerical claims)","Claimant count",135,"A","F"
"2010-05","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2010-05","E08000021","Total","Aged 16-24","Claimant count",2405,"A","F"
"2010-05","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2010-05","E08000021","Total","Aged 25-49","Claimant count",4780,"A","F"
"2010-05","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2010-05","E08000021","Total","Aged 50+","Claimant count",1210,"A","F"
"2010-05","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2010-06","E08000021","Total","All categories: Age 16+","Claimant count",8295,"A","F"
"2010-06","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",4.4,"A","F"
"2010-06","E08000021","Total","Age unknown (clerical claims)","Claimant count",110,"A","F"
"2010-06","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2010-06","E08000021","Total","Aged 16-24","Claimant count",2285,"A","F"
"2010-06","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2010-06","E08000021","Total","Aged 25-49","Claimant count",4730,"A","F"
"2010-06","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2010-06","E08000021","Total","Aged 50+","Claimant count",1170,"A","F"
"2010-06","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2010-07","E08000021","Total","All categories: Age 16+","Claimant count",8385,"A","F"
"2010-07","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",4.4,"A","F"
"2010-07","E08000021","Total","Age unknown (clerical claims)","Claimant count",125,"A","F"
