recipient,company_number,total_grants,funding
Childrens Foundation,2528291,1,500
Chilli Studios,5028177,2,93200
Chilli Studios (Newcastle And Gateshead Arts Studio) Limited,5028177,1,10000
Chilli Studios (Newcastle and Gateshead Arts Studio Ltd),5028177,12,111930
Chilli Studios (Newcastle and Gateshead Arts Studio) Limited,5028177,2,48550
Church of St John the Evangelist Kingston Park,,2,6110
Church of the Holy Spirit,,1,2500
Citizens Advice Newcastle,2114435,7,186693
Citizens Advice Newcastle Limited,2114435,1,10000
City Church Newcastle,,1,20000
"City Church, Newcastle",6972512,1,45000
City Of God Christian Centre (Walker Foodbank),,2,5450
City of Newcastle Gymnastics Academy,4294585,2,50000
Clean Slate Financial Wellbeing Services CIO,,1,7842
Clubhouse Gaming CIC,14265962,2,29889
Cobalt Studios Cic,8966471,1,720
Cobalt TOO CIC,8966471,1,69000
Cobalt Too CIC,8966471,1,2500
Common Room of the Great North,,1,35000
Community CATERING INITIATIVE C.I.C.,5319417,2,19316
Community Catering Initiative C.I.C.,5319417,2,19864
Community Catering Initiative CIC,3373851,2,27722
Community Catering Initiative CIC,5319417,1,9750
Community Counselling Co-operative,8001581,1,21720
Community Foundation (Tyne & Wear and Northumberland),,1,100000
"Community Foundation - Northumberland, Tyne & Wear",,1,10000
Community Foundation Tyne & Wear and Northumberland,,4,1519183.71
Community Foundation serving Tyne & Wear and Northumberland,2273708,1,1092.72
Community Foundation serving Tyne & Wear and Northumberland,,1,80000
Community Revive,,1,8800
Company of Others,10016228,13,179697
Company of Others,,1,8000
Connect25 Foodbank,,1,4109.35
Connected Voice,6681475,13,264343
Connecting the Community,,1,2378.69
Coordination of French Speakers Resident in the North East of England,,1,9980
Coquet Trust,6251078,1,10000
Cornerstone,,1,14000
Cornerstone Benwell,,3,15566.21
Cornerstone Community Centre,,1,1786.02
Creative Castle Farmers,,1,14020
Creative Friends,,1,12000
Creative Spaces North East C.I.C.,11959787,2,68000
Cricketqube Initiative CIC,14769239,1,10000
Crossings Community Group,,1,1540
Cruse Bereavement Support,638709,2,19767
Culinary Crossing of Cultures and Continents,,1,1524.1799999999998
Cumberland Community,4504115,1,100000
Curiosity Creative,8077334,1,10000
Curiosity Creative C.I.C.,8077334,1,10000
Curious Arts,10709247,6,37766
Curious Arts,,3,61639.1
Curious Arts LTD,10709247,1,500
Curious Arts Ltd,10709247,1,33540
Curious Monkey,8550041,3,159996.0
Curious Monkey,,1,500
Curious Monkey Ltd,8550041,14,202199.25
Cybernauts NorthEast CIC,12774039,1,9800
D.Tait Builders,,1,1000
D2 Youth Zone,,3,66000
D2 Youth Zone Ltd,,2,3000
D6 Culture Ltd,2632544,2,100089
D6 Culture in Transit D6,2632544,1,20000
D6: Culture Ltd,2632544,7,117500
D6: Culture in Transit,2632544,2,220500
DAFT AS A BRUSH CANCER PATIENT CARE CHARITABLE TRUST,2333474,2,14400
DEMENTIA MATTERS,2980817,1,10000
DIGITAL MEDIA DISTRIBUTION LTD,8756268,1,80000
DINNINGTON FIRST SCHOOL,,2,577.27
DIOCESE OF HEXHAM AND NEWCASTLE,7732977,1,269560.24
DR ELECTRICAL SERVICES (NE) LTD,8111034,1,500
Daft As A Brush Cancer Patient Care,,1,250
Daft as a Brush Cancer Patient Care Charitable Trust,2333474,3,11000
Daft as a Brush Cancer Patient Care Charitable Trust,,1,8100
Daisy Hill Boxing Club,,1,689
Dance City,702801,2,804048
Dance City,2490618,2,53828.5
Dance North,2490618,5,267896.4
Dance North,,1,76698
Dance North Ltd,,1,564048
Deaflink North East,7982375,1,23750
Dementia Matters,2980817,7,47405
Dementia Matters,,2,17205
Denton Youth & Community Project,,2,55000
Denton Youth & Community Project Limited,7846726,1,18165
Denton Youth and Community Project,7846726,1,126000
Denton Youth and Community Project,,2,35000
Denton Youth and Community Project Ltd,7846726,3,4455
Development Officer,,1,5750
Digital,6490436,1,141029
Digital Voice for Communities C.I.C,6391034,1,10000
Diocese of Hexham & Newcastle Justice & Peace Refugee Project,,1,9900
Diocese of Hexham and Newcastle,,2,81000
Disability North,1781525,9,375935
Disability North,,16,724334
Diwan,,1,7537
Dragonfly Cancer Trust,,1,3322.36
Dragonfly Cancer Trust - Memory Making Project,,1,4660.6900000000005
Dragonfly Cancer Trust Limited,10070362,1,3000
Dunston Silver Band,,1,600
Dwellbeing Shieldfield Ltd,CBS No 8571,1,222569
Dynamo,9197080,1,5000
Dyslexia North East,6707963,1,15000
EAST YORKSHIRE MOTOR SERVICES LIMITED,216628,1,0
ECONOMIC RESEARCH SERVICES LIMITED,2937576,1,11478
EDGE NE cic,11899358,3,170247
EMPENTIS LIMITED,10570407,1,142976.19
EMTEP,,2,11120
EVINCE TECHNOLOGY LIMITED,6414686,2,260923.5
EXCELSIOR ACADEMY,,3,54222.85
Eagles Community Foundation,5400969,5,113337
Earth Doctors Ltd,8415957,1,9999
East African Support Group,,2,19668
Eating Distress North East,8269009,3,383990
Elders Council of Newcastle,6188907,1,28000
Elders Council of Newcastle,,1,15000
Eliesha Training Ltd,4161029,2,253815.24
Eliot Smith Company Limited,9442391,3,20300
Elswick Community Pool & Leisure Centre CIO,CE010758,2,60000
Elswick Community Pool And Leisure Centre,,1,8553
Elswick Community Pool and Leisure Centre,,1,10000
Elswick Community Pool and Leisure Centre,CE010758,2,7120
Elswick Community Pool and Leisure Centre CIO,,1,51200
English Martyrs Catholic Primary School,,1,6500
English for All,,2,29750
Equal Arts,1992359,9,167000
Equal Arts,,7,143500
Eric Knows CIC,13063647,1,10000
EricKnows CIC,13063647,1,20508
Ethnic Minorities Training & Education Project North East,,1,9000
Evening Chronicle Sunshine Fund,,1,1110
Everyturn,2073465,1,8600
Ex Factor Health and Fitness Club,,2,9209
Eyes Open,,1,10000
FARESHARE NORTH EAST,,1,9999
FARNE PRIMARY SCHOOL,,3,446570
FAT HIPPO RESTAURANTS,7207305,2,9878.95
FEEDING BRITAIN,CE004564,1,8582.0
FENHAM ASSOCIATION OF RESIDENTS,,2,64680
FEWER MOVING PARTS LIMITED,12055239,2,57228.65
FIRST AV LIMMITED TA THIRD ASPECT,9534810,1,7765.68
FIRST BASE NORTH EAST C.I.C.,9639887,2,19700
FLEXIBLE SUPPORT OPTIONS,7920625,1,1500
FLEXIBLE SUPPORT OPTIONS LIMMITED,7920625,1,3181.17
FRIENDS OF GOSFORTH CENTRAL PARK,,1,2500.0
FULL BLOWN METALS LTD,8412958,1,24883
FULLWELL MILL LIMITED,2297114,1,2000
FYTO,12738157,1,2216.39
FYTO LIMMITED,12738157,1,3732.6
Faces & Voices of Recovery UK,,1,10000
Families 1st 4 Additional Needs,,1,7275.6900000000005
Families 1st 4 additional Needs,,1,9600
Families 1st 4 additional needs,,3,29834
Families in Care,,8,164580
Family Gateway,7583330,1,14294
Family Gateway,,5,111527
FareShare,4837373,1,5059
FareShare North East,7254880,1,4900
FareShare North East,,5,55400
FareShare North East,CE022146,6,21748.59
Fareshare North East,,5,330250.0
Farne Enterprises,10477345,2,181700
Fawdon FC,,1,1188
Fawdon and Coxlodge Together,,2,2250
Feeding Britain,,1,500000
Feeding Families,,1,100
Fenham ABC,,2,3100
Fenham Association of Residents,,41,489065
Fenham Association of Residents (FAR),,2,62500
Fertile Ground Dance Ltd,10599285,4,45000
First Step North East,,9,108548
Firststep NE,,1,2482
Five Points Wrestling Newcastle,14716087,1,1000
Food Nation CIC,3169228,2,19962
Food Nation CIC (Men's Pie Club),3169228,2,15000
FoodCycle,,1,5750
Foundation Futures,8859480,4,49200
Foundation Futures,,2,17280
Foundation Futures CIC,8859480,1,2000
Foundation Futures CIO,8859480,1,9990
Foundation Futures CIO,,4,132434
Foundation Futures CIO,CE021329,3,18000
Foundation Futures Community Interest Company,8859480,1,73540
Friday Friends (Shafto Court),,1,3800
Friends Action North East,,9,123260
Friends Action North East (FANE),,2,52000
Friends Acton North East,,1,50000
Friends of Fawdon Community Library,,3,16000
Friends of Hadrian School,,1,100000
Friends of Jesmond Library,,3,6175
GEM PARTNERSHIP LIMITED,6931626,2,193641.08000000002
GENIEWISH,,1,5200
GIFT,,1,30000
GLYCOSCOREDX LIMITED,12766216,2,141716.74
GO NORTH EAST LIMITED,2057284,2,390000
GO NORTH WEST LIMITED,8205871,1,0
GO SOUTH COAST LIMITED,3949597,1,0
GOSFORTH ACADEMY,,1,1200
GOSFORTH JUNIOR HIGH ACADEMY,,1,1200
GOVIA THAMESLINK RAILWAY LIMITED,7934306,3,312709.87
GREAT PARK ACADEMY,,1,1200
GREATER WALKER COMMUNITY TRUST,3552936,1,29000
GUERILLA COMMUNICATIONS,3837083,1,53605.6
GUERILLA COMMUNICATIONS LIMMITED,3837083,1,6436.8
Gateshead Storm Community Rugby League Club,,1,5125
Generator North East,3670235,4,334658
Generator North East,,1,158922
Gosforth Academy Ladies,,1,1357
Gosforth Bohemians FC,,1,2500
Gosforth Bowling Club,,1,2500
Gosforth Chess Club,,1,1000
Gosforth Garden Village Association,522064,1,500
Gosforth Garden Village Association,,1,10000
Gosforth Garden Village Bowls Club,,1,2000
Gosforth Park First School,,1,2000
Gosforth Park First School Parent Teacher Association,,1,500
Gosforth Rugby Club,IP030645,1,510
Gosforth Rugby Football Club,IP030645,1,4600
Gosforth Sports Association,9653714,1,4000
Grainger Park,,1,7500
Grange Day Centre Limited,2916458,1,9750
Grange First School PTA,,2,1000
Green Supplier Limited,11042716,2,2000
Greening Wingrove & Arthur's Hill,,1,1722.0100000000002
Greening Wingrove Community Interest Company,,1,8900
H Malone and Sons Ltd,799600,1,1451.83
H.E.A.R.,,1,9700
HARRISONS LIMITED,5208366,1,1440.2
HAWTHORNS WINDOWS,3465572,1,1500
HAWTHORNS WINDOWS LIMMITED,3465572,1,1044.28
HEADLINE PICTURES LIMITED,3090303,1,31500
HEALTH EDUCATION ENGLAND,12433002,2,163199.96000000002
HEART OF THE CITY PARTNERSHIP,6373460,2,310200
HEATON NURSERY,4425166,2,21673.67
HERITAGE GLOBAL SOLUTIONS LTD,7915283,1,1700
HEXISLAB LIMITED,8769142,1,103534
HITMARKER / HITMARKER,11196693,1,16466.8
HOME GROUP LTD,IP21601R,2,15302.53
HYBRID GASIFICATION LTD,6399083,1,30936.57
Hadrian School,,3,29900
Hair by Vasari LTD,4666035,2,2000
Hamara Healthy Living Centre,,1,5000
Hand Of Ltd,10156422,6,19920
Hat-Trick (Centre-West),,1,5000
Hazlerigg Community Centre,,1,4183.77
Hazlerigg and district war memorial community centre and playing field,,1,9200
Headliners (UK),2976335,1,193767
Headway Tyneside,6992206,3,24590
Health Education North East,,4,1069167.69
HealthWORKS Newcastle,2952583,12,63561
Healthworks Newcastle,2952583,1,4464
Heart of the City Partnership,,1,79100
Heaton Baptist Church,,1,8000
Heaton Community Centre CIO,CE003977,1,10000
Heaton Hawks Football Club,,1,500
Heaton Victoria Bowling Club,,1,600
Heddon Juniors Football Club,,1,1705
Henry Dancer Days,,3,145717
Highlight Community Newspaper,,1,5100
Holding Hands (North East) Community Interest Company,14545855,1,9618
Holding-Hands (North East) Community Interest Company,14545855,1,10000
I Exist Too,,1,30000
I N F I N I T Y 27 LTD,10768924,1,1000
INDICATRIX CRYSTALLOGRAPHY LIMITED,12090026,1,20254
INEX MICROTECHNOLOGY LIMITED,8268426,11,2380558.82
INPRESS LIMITED,4537051,3,330374.5
INSANITY SUPPLY,12636472,1,2441.16
IOTECH SYSTEMS LIMITED,10705197,2,439445.9
Inclusive World,,1,1500
Ingram AV Limited,9839339,1,116700
Inspire Youth Tyne & Wear CIC,8540636,1,600
Inspire Youth Tyne And Wear Community Interest Company,8540636,1,10000
Inspire Youth Tyne and Wear CIC,8540636,1,5250
Inspiring Events CIC,8002223,1,10000
International Centre For Life Trust,3225820,1,11996
Investing in People and Culture,,3,91500
Investing in People and Culture (IPC),,1,15000
Involve North East,,1,4000
J.G. WINDOWS LIMITED,206416,1,329
JAMES PLACE LIMITED,4504115,1,5000
JESMOND PARK ACADEMY,,2,12731.64
JESSAMY STAFFING SOLUTIONS,12477441,1,11635.7
JULES B LIMITED,2009628,1,2000
Jesmond Community Leisure,2645699,1,36200
Jesmond Park Academy,,1,125000
Jewish Lads' And Girls' Brigade,1713997,1,74527
Jobes Boxing & Fitness Gym CIC,10380835,2,30000
Jobes Boxing & Fitness Gym CIC,,1,2021
Joseph Cowen Lifelong Learning Centre CIO,,1,970
Josephine and Jack Project,,3,58000
Josie's Dragonfly Trust,10070362,1,1000
Journey Enterprises Ltd,1780839,2,201392
Journey Enterprises Newcastle Hub,,1,1802.52
Junction 42,8139367,1,13140
KENTON BAR PRIMARY SCHOOL,,3,209584
KENTON SCHOOL,,4,111880.18
KINGSTON PARK PRIMARY SCHOOL,,2,454078
KINGSTON PROPERTY SERVICES LIMITED,4032016,2,477061
KOMODO DESIGN LIMITED,4674423,2,191482.3
KONECTBUS LIMITED,3149258,1,0
Kenton Amateur boxing club,,2,25350
Kenton Bar Primary School,,1,43842
Kenton Park Community Association,11905732,3,8894
Kenton Park Community Association,,1,12000
Kenton School,,1,234796
KeyFund Federation (The Key),,1,20000
Keyfund Federation Limited,3339120,13,122050.96
Keyfund Federation Limited (Operating as The Key),3339120,1,24990
Keyfund Federation Ltd (The Key),3331920,1,4770
Kids Kabin,4000826,16,349524.0
Kids Kabin,,8,107958
Kids' Kabin,,3,56250
Kie Park,,1,3523.81
Kingston Park Development Project,,4,6509
Komodo Design Ltd,4674423,1,1000
L.B. FOSTER RAIL TECHNOLOGIES (UK) LIMITED,3939427,2,15315.12
LEAZES HOMES LIMITED,6888341,1,6750
LEAZES HOMES LIMITED,,1,18000
LEAZES HOMES LIMITED,RS008692,2,8973
LEIGHCAM2 LIMMITED TA U SALON,7021541,1,1493.04
LEIGHCAM2 TA U SALON,7021541,1,4365.56
LIBERDADE COMMUNITY DEVELOPMENT TRUST,6548122,7,808776
LIGO ELECTRONICS LIMITED,4940332,1,2000
LINHOPE PRU,,3,337996
LITTLE HOTTIES,12837047,2,13302.19
LIVEWIRE (GOSFORTH),,3,2450
Laidlaw Schools Trust,5735093,4,3100
Lawson & Cowell Ltd,2230201,1,3000
Let's Circus,oc340924,1,96172
Liberdade Community Development Trust,6548122,13,531855.0
Liberdade Community Development Trust,,10,408408
Life and Limb Puppets CIC,9172503,2,15000
Lindsey Burns,,1,750
Literary and Philosophical Society of Newcastle upon Tyne,6220953,1,4279
Little Buildings,10647910,1,20288
Little Inventors Worldwide Ltd,10433685,1,38690
Little Sisters of the Poor,867949,1,3000
Live Theatre,1697756,1,90000
Live Theatre,,3,105500.0
Locus+,,2,106000
Loft Productions LLP,,1,22500
M & S Motorcycles Ltd,595360,1,1200
M10 Missions,7754910,1,9782
MAKE YOUR WAY COMMUNITY INTEREST COMPANY,8439609,1,18752
MANHUA CHA,10281777,1,4727.14
MANHUA CHA LIMMITED,11227920,1,6926.05
MCGRADY CLARKE GROUP LTD,12251304,1,10564.5
METRO REPRO LIMITED,2723025,1,112.18
METROBUS LIMITED,1742404,1,0
MINE (Mission Initiative Newcastle East),,1,7500
MINHOCO 24,9293113,1,10346.59
MINHOCO 30,9853579,1,260301.83
MINHOCO 35,,1,71799.23
MINHOCO 35 LIMITED,10382013,1,2088.56
MINHOCO 40,10767780,1,9064.5
MINHOCO 41,10767707,1,97103.6
MITFORD ESTATE LLP,OC334157,2,46028.53
MMO,,1,13436.63
MOUNTFIELD PRIMARY SCHOOL,,3,462195
MTL SCAFFOLDING,4410496,1,20711.46
MTL SCAFFOLDING LIMMITED,4748440,1,2537.32
MYNDR LTD,11569132,2,164847
Madina Education LTD,7868726,1,7450
Maggie Keswick Jencks Cancer Caring Centres Trust,,1,2000
Maggie Keswick Jencks Cancer Caring Centres Trust,SC162451,1,5000
Maggie's,,1,10000
Make Your Way Community Interest Company,8439609,4,39165
Making Changes NE (North East),,1,1007.78
Margaret Pyke Trust,,1,5500
Marie Curie,507597,6,7172
Marie Curie,507598,1,500
Marie Curie,507599,1,1587
Marie Curie,507600,1,5000
Marie Curie,507601,1,750
Marie Curie,507602,1,500
Marie Curie,507603,1,1682
Marie Curie,507604,1,500
Marie Curie (Wellbeing Centre),207994,1,20000
Marie Curie Centre Newcastle,,2,3150
Marine Management Organisation,,1,1500
Martha & Mary Association,,1,5000
Martha and Mary Association,1120606,1,500
Martha and Mary Association,,2,1000
MediCinema,,2,3560
Men's Pie Club,#N/A,1,2787.59
Mental Health Matters,1786914,3,6000
Metro Radio's Cash for Kids,,1,1484.7199999999998
Mi Viejo Fruta Ltd,10432300,2,162500
Millers Dene Day Care,7233877,1,10000
Mindfulness Based Therapies C.I.C,8568633,1,39166
Mindfulness Based Therapies C.I.C.,8568633,3,39650
Mission Initiative Newcastle East,,4,52000
Monkchester community Association,,1,8670
Monkfish Productions CIO,,1,1540
Montagu and North Fenham FC,,1,600
Moving Parts Arts CIO,,13,97899
Moving Parts Arts Cio,,1,10000
Moving Parts Arts Cio,CE026125,1,10000
Multicultural Organisation Challenger,,1,10000
Music Matters North East,,2,19750
Musicwonders.org Community Interest Company,8540703,1,8300
NANOVERY LIMITED,11695725,3,358077.83
NCG,,4,3175206
NE CHILDRENS PARTIES LIMMITED,11960007,1,6567.68
NE CHILDRENS PARTIES LTD,11219196,1,3000
NE Youth Limited,,1,2827
NE14 Productions CIC,,1,800
NEAT Academy Trust,10561094,1,23450
NEAT Academy Trust,,2,93334
NETWURK GROUP,12919846,1,7010.75
NETWURK GROUP LIMMITED,13581266,1,17430.13
NETWURK GROUP LTD,12919846,1,2216.39
NEWCASTLE BENFIELD JUNIORS FC,,1,9460
NEWCASTLE CENTRAL MOSQUE MASJID AL-TAWHID,,1,11900
NEWCASTLE CITY COUNCIL,,70,79477032.63000001
NEWCASTLE CITY COUNCIL (G),,11,4177673.86
NEWCASTLE COLLEGE GROUP,,8,18255913.58
NEWCASTLE COMBAT ACADEMY,8278344,1,2932.78
NEWCASTLE COMMUNITY ASSET TRUST,8454215,1,9600
NEWCASTLE EAGLES (BASKETBALL) LIMITED,3041174,2,340620
NEWCASTLE RUGBY,3706046,1,6000
NEWCASTLE RUGBY LIMITED,10062243,1,20349.44
NEWCASTLE UNITED FOUNDATION,6412345,1,27073.31
NEWCASTLE UPON TYNE,,8,67464617
NEWCASTLE UPON TYNE DC,,46,34352911
NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,,2,200341.44
"NEWCASTLE UPON TYNE, All Saints",,1,2000
"NEWCASTLE, St Luke",,1,15000
NEXUS,4008561,14,90658787.28
NEXUS,13152747,2,54145366.33
NEXUS,,13,36759600
NGC TRADING AS NEWCASTLE COLLEGE,3158819,2,21756.06
NHS Business Services Authority,,1,17852000
NHS NEWCASTLE GATESHEAD CCG,,2,127638.7
NHS NEWCASTLE GATESHEAD CCG (G),,1,111066.65
NIWE EATING DISTRESS SERVICE,8269009,2,28646
NIWE Eating Distress Service,8269009,2,20000
NOISE CREATIVE LIMMITED,12013712,1,3670.42
NORTH BENWELL YOUTH PROJECT CIO,,1,2500
NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,,3,1217748.01
NORTH EAST CAR CHARGERS LIMITED,13070228,1,3150
NORTH EAST LEP C/OO NORTH OF TYNE COMBINED AUTHORITY,,1,71010.22
NORTH FAWDON PRIMARY SCHOOL,,2,167292
NORTHERN LEARNING TRUST,6316736,1,8032
NORTHERN ROOTS,3539586,1,37593
NORTHERN STAGE (THEATRICAL PRODUCTIONS) LIMITED,2187213,2,330333
NORTHERN STAGE (THEATRICAL PRODUCTIONS) LIMITED,,1,84775
NORTHERN STAR SPORTS LIMMITED,12488201,1,2170.42
NORTHERN STAR SPORTS LTD,11806076,1,26286.71
NORTHUMBERLAND ESTATES LIMITED,5941545,3,12570.74
NORTHUMBERLAND TYNE & WEAR NHS,,3,290757
NORTHUMBERLAND WILDLIFE TRUST,717813,2,61801.969999999994
NORTHUMBERLAND WILDLIFE TRUST,,5,141444.28
NORTHUMBERLAND WILDLIFE TRUST LIMITED,717813,11,620892.13
NORTHUMBRIAN MEDICAL SUPPLIES LIMITED,6410206,1,2000
NOTION MUSIC RECORDINGS,13306721,1,4532.25
NOTION MUSIC RECORDINGS LIMMITED,13306721,1,3181.17
NOURISH BUD,12329347,1,9192.17
NOURISH BUD LIMMITED,13243122,1,2916.94
NOVELLUS AESTHETICS,11756979,2,7353.200000000001
NOVO VENTURES,11570750,2,593747.84
